DATASET_COLORSTRIP

SEPARATOR TAB

DATASET_LABEL	ethiopia
COLOR	#808080

LEGEND_TITLE	ethiopia
LEGEND_SHAPES	1	1
LEGEND_COLORS	#fdbf6f	#808080
LEGEND_LABELS	Ethiopia	Not Ethiopia

BORDER_WIDTH	0.25
BORDER_COLOR	#CCCCCC

DATA
ERR3325206	#808080	Not Ethiopia
ERR3325218	#808080	Not Ethiopia
ERR3325241	#808080	Not Ethiopia
ERR3325242	#808080	Not Ethiopia
ERR3325259	#808080	Not Ethiopia
ERR3325300	#808080	Not Ethiopia
ERR3325393	#808080	Not Ethiopia
ERR3325424	#808080	Not Ethiopia
ERR3325509	#808080	Not Ethiopia
ERR3325535	#808080	Not Ethiopia
ERR3325536	#808080	Not Ethiopia
ERR3325618	#808080	Not Ethiopia
ERR3325692	#808080	Not Ethiopia
ERR3325721	#808080	Not Ethiopia
ERR3325739	#808080	Not Ethiopia
ERR3325750	#808080	Not Ethiopia
ERR3325768	#808080	Not Ethiopia
ERR3325802	#808080	Not Ethiopia
ERR3325917	#808080	Not Ethiopia
ERR3325934	#808080	Not Ethiopia
ERR3325949	#808080	Not Ethiopia
ERR3325952	#808080	Not Ethiopia
ERR3325994	#808080	Not Ethiopia
ERR3326003	#808080	Not Ethiopia
ERR3326009	#808080	Not Ethiopia
ERR3326056	#808080	Not Ethiopia
ERR3326068	#808080	Not Ethiopia
ERR3326069	#808080	Not Ethiopia
ERR3326087	#808080	Not Ethiopia
ERR3326117	#808080	Not Ethiopia
ERR3326192	#808080	Not Ethiopia
ERR3326194	#808080	Not Ethiopia
SRR1661165	#808080	Not Ethiopia
SRR2736127	#808080	Not Ethiopia
SRR3349711	#808080	Not Ethiopia
SRR3350112	#808080	Not Ethiopia
SRR3350186	#808080	Not Ethiopia
SRR3360883	#808080	Not Ethiopia
Eth01-2021	#fdbf6f	Ethiopia
Eth07-2021	#fdbf6f	Ethiopia
Eth16-2022	#fdbf6f	Ethiopia
Eth21-2022	#fdbf6f	Ethiopia
Eth22-2022	#fdbf6f	Ethiopia
Eth25-2022	#fdbf6f	Ethiopia
Eth29-2022	#fdbf6f	Ethiopia
Eth30-2022	#fdbf6f	Ethiopia
Eth32-2022	#fdbf6f	Ethiopia
Eth34-2022	#fdbf6f	Ethiopia
Eth35-2022	#fdbf6f	Ethiopia
Eth36-2022	#fdbf6f	Ethiopia
Eth38-2022	#fdbf6f	Ethiopia
Eth46-2022	#fdbf6f	Ethiopia
Eth51-2022	#fdbf6f	Ethiopia
Eth52-2022	#fdbf6f	Ethiopia
Eth53-2022	#fdbf6f	Ethiopia
Eth55-2022	#fdbf6f	Ethiopia
Eth56-2022	#fdbf6f	Ethiopia
Eth61-2023	#fdbf6f	Ethiopia
Eth62-2023	#fdbf6f	Ethiopia
Eth63-2023	#fdbf6f	Ethiopia
Eth64-2023	#fdbf6f	Ethiopia
Eth65-2023	#fdbf6f	Ethiopia
Eth66-2023	#fdbf6f	Ethiopia
Eth67-2023	#fdbf6f	Ethiopia
Eth72-2023	#fdbf6f	Ethiopia
Eth73-2023	#fdbf6f	Ethiopia
Eth77-2023	#fdbf6f	Ethiopia
Eth78-2023	#fdbf6f	Ethiopia
Eth79-2023	#fdbf6f	Ethiopia
Eth81-2023	#fdbf6f	Ethiopia
Eth82-2023	#fdbf6f	Ethiopia
Eth84-2023	#fdbf6f	Ethiopia
Eth85-2023	#fdbf6f	Ethiopia
Eth87-2023	#fdbf6f	Ethiopia
Eth91-2023	#fdbf6f	Ethiopia
SRR5989344	#808080	Not Ethiopia
SRR9985641	#808080	Not Ethiopia
ERR9668847	#808080	Not Ethiopia
ERR9668849	#808080	Not Ethiopia
ERR9668850	#808080	Not Ethiopia
ERR9668888	#808080	Not Ethiopia
ERR9668911	#808080	Not Ethiopia
ERR9668930	#808080	Not Ethiopia
ERR9668932	#808080	Not Ethiopia
ERR9668938	#808080	Not Ethiopia
ERR9668941	#808080	Not Ethiopia
ERR9668942	#808080	Not Ethiopia
ERR9668945	#808080	Not Ethiopia
ERR9668950	#808080	Not Ethiopia
ERR9668954	#808080	Not Ethiopia
ERR9668956	#808080	Not Ethiopia
ERR9668957	#808080	Not Ethiopia
ERR9668966	#808080	Not Ethiopia
ERR9668970	#808080	Not Ethiopia
ERR9668980	#808080	Not Ethiopia
ERR9668989	#808080	Not Ethiopia
ERR9668992	#808080	Not Ethiopia
ERR9668993	#808080	Not Ethiopia
ERR9668996	#808080	Not Ethiopia
ERR9669003	#808080	Not Ethiopia
ERR9669004	#808080	Not Ethiopia
ERR9669005	#808080	Not Ethiopia
ERR9669006	#808080	Not Ethiopia
ERR9669011	#808080	Not Ethiopia
GCGS0586	#808080	Not Ethiopia
GCGS0709	#808080	Not Ethiopia
GCGS1097	#808080	Not Ethiopia
ERR7975620	#808080	Not Ethiopia
ERR7975699	#808080	Not Ethiopia
ERR7975752	#808080	Not Ethiopia
ERR7975753	#808080	Not Ethiopia
ERR7975755	#808080	Not Ethiopia
ERR7975765	#808080	Not Ethiopia
ERR7975766	#808080	Not Ethiopia
ERR7975920	#808080	Not Ethiopia
ERR7975923	#808080	Not Ethiopia
