DATASET_COLORSTRIP

SEPARATOR TAB

DATASET_LABEL	ethiopia
COLOR	#808080

LEGEND_TITLE	ethiopia
LEGEND_SHAPES	1	1
LEGEND_COLORS	#fdbf6f	#808080
LEGEND_LABELS	Ethiopia	Representative genomes

BORDER_WIDTH	0.25
BORDER_COLOR	#CCCCCC

DATA
Eth01-2021	#fdbf6f	Ethiopia
Eth03-2021	#fdbf6f	Ethiopia
Eth05-2021	#fdbf6f	Ethiopia
Eth06-2021	#fdbf6f	Ethiopia
Eth07-2021	#fdbf6f	Ethiopia
Eth08-2021	#fdbf6f	Ethiopia
Eth09-2021	#fdbf6f	Ethiopia
Eth10-2021	#fdbf6f	Ethiopia
Eth11-2021	#fdbf6f	Ethiopia
Eth12-2021	#fdbf6f	Ethiopia
Eth13-2021	#fdbf6f	Ethiopia
Eth14-2022	#fdbf6f	Ethiopia
Eth16-2022	#fdbf6f	Ethiopia
Eth17-2022	#fdbf6f	Ethiopia
Eth18-2022	#fdbf6f	Ethiopia
Eth19-2022	#fdbf6f	Ethiopia
Eth21-2022	#fdbf6f	Ethiopia
Eth22-2022	#fdbf6f	Ethiopia
Eth24-2022	#fdbf6f	Ethiopia
Eth25-2022	#fdbf6f	Ethiopia
Eth29-2022	#fdbf6f	Ethiopia
Eth30-2022	#fdbf6f	Ethiopia
Eth32-2022	#fdbf6f	Ethiopia
Eth33-2022	#fdbf6f	Ethiopia
Eth34-2022	#fdbf6f	Ethiopia
Eth35-2022	#fdbf6f	Ethiopia
Eth36-2022	#fdbf6f	Ethiopia
Eth38-2022	#fdbf6f	Ethiopia
Eth42-2022	#fdbf6f	Ethiopia
Eth43-2022	#fdbf6f	Ethiopia
Eth44-2022	#fdbf6f	Ethiopia
Eth45-2022	#fdbf6f	Ethiopia
Eth46-2022	#fdbf6f	Ethiopia
Eth47-2022	#fdbf6f	Ethiopia
Eth48-2022	#fdbf6f	Ethiopia
Eth50-2022	#fdbf6f	Ethiopia
Eth51-2022	#fdbf6f	Ethiopia
Eth52-2022	#fdbf6f	Ethiopia
Eth53-2022	#fdbf6f	Ethiopia
Eth54-2022	#fdbf6f	Ethiopia
Eth55-2022	#fdbf6f	Ethiopia
Eth56-2022	#fdbf6f	Ethiopia
Eth61-2023	#fdbf6f	Ethiopia
Eth62-2023	#fdbf6f	Ethiopia
Eth63-2023	#fdbf6f	Ethiopia
Eth64-2023	#fdbf6f	Ethiopia
Eth65-2023	#fdbf6f	Ethiopia
Eth66-2023	#fdbf6f	Ethiopia
Eth67-2023	#fdbf6f	Ethiopia
Eth69-2023	#fdbf6f	Ethiopia
Eth70-2023	#fdbf6f	Ethiopia
Eth71-2023	#fdbf6f	Ethiopia
Eth72-2023	#fdbf6f	Ethiopia
Eth73-2023	#fdbf6f	Ethiopia
Eth74-2023	#fdbf6f	Ethiopia
Eth75-2023	#fdbf6f	Ethiopia
Eth76-2023	#fdbf6f	Ethiopia
Eth77-2023	#fdbf6f	Ethiopia
Eth78-2023	#fdbf6f	Ethiopia
Eth79-2023	#fdbf6f	Ethiopia
Eth80-2023	#fdbf6f	Ethiopia
Eth81-2023	#fdbf6f	Ethiopia
Eth82-2023	#fdbf6f	Ethiopia
Eth83-2023	#fdbf6f	Ethiopia
Eth84-2023	#fdbf6f	Ethiopia
Eth85-2023	#fdbf6f	Ethiopia
Eth86-2023	#fdbf6f	Ethiopia
Eth87-2023	#fdbf6f	Ethiopia
Eth89-2023	#fdbf6f	Ethiopia
Eth90-2023	#fdbf6f	Ethiopia
Eth91-2023	#fdbf6f	Ethiopia
163M	#808080	Representative genomes
21242_3_112	#808080	Representative genomes
21242_3_23	#808080	Representative genomes
21242_4_62	#808080	Representative genomes
21242_4_87	#808080	Representative genomes
25818_2_13	#808080	Representative genomes
25818_2_176	#808080	Representative genomes
25818_2_181	#808080	Representative genomes
25818_2_184	#808080	Representative genomes
25818_2_207	#808080	Representative genomes
25818_2_222	#808080	Representative genomes
25818_2_270	#808080	Representative genomes
25818_2_277	#808080	Representative genomes
25818_2_7	#808080	Representative genomes
25818_3_222	#808080	Representative genomes
25818_3_234	#808080	Representative genomes
25818_3_255	#808080	Representative genomes
25818_3_268	#808080	Representative genomes
25818_3_361	#808080	Representative genomes
25825_2_43	#808080	Representative genomes
25825_2_44	#808080	Representative genomes
25825_2_59	#808080	Representative genomes
25825_2_70	#808080	Representative genomes
7M	#808080	Representative genomes
AUNG1065	#808080	Representative genomes
AUNG1305	#808080	Representative genomes
AUNG1852	#808080	Representative genomes
AUNG193	#808080	Representative genomes
AUNG1939	#808080	Representative genomes
AUNG2022	#808080	Representative genomes
AUNG2170	#808080	Representative genomes
AUNG299	#808080	Representative genomes
AUNG320	#808080	Representative genomes
AUNG322	#808080	Representative genomes
AUNG495	#808080	Representative genomes
AUNG764	#808080	Representative genomes
AUNG892	#808080	Representative genomes
AUNG92	#808080	Representative genomes
BH33	#808080	Representative genomes
BH71	#808080	Representative genomes
CCC001	#808080	Representative genomes
CCC011	#808080	Representative genomes
CCC012	#808080	Representative genomes
CCC020	#808080	Representative genomes
CCC022	#808080	Representative genomes
CCC029	#808080	Representative genomes
