DATASET_COLORSTRIP

SEPARATOR TAB

DATASET_LABEL	lineage
COLOR	#1f78b4

LEGEND_TITLE	lineage
LEGEND_SHAPES	1	1
LEGEND_COLORS	#a6cee3	#1f78b4
LEGEND_LABELS	A	B

BORDER_WIDTH	0.25
BORDER_COLOR	#CCCCCC

DATA
SRR5827098	#a6cee3	A
SRR5827190	#a6cee3	A
SRR5827339	#a6cee3	A
SRR5827063	#a6cee3	A
SRR5827331	#a6cee3	A
SRR5827341	#a6cee3	A
SRR5827134	#a6cee3	A
ERR1514826	#a6cee3	A
ERR349961	#a6cee3	A
SRR13305433	#a6cee3	A
ERR7975736	#a6cee3	A
AUNG764	#a6cee3	A
AUNG2022	#a6cee3	A
SRR5827058	#a6cee3	A
SRR5827065	#a6cee3	A
SRR5827229	#a6cee3	A
ERR9839224	#a6cee3	A
AUNG1305	#a6cee3	A
ERR7985858	#a6cee3	A
25818_3_268	#a6cee3	A
Eth45-2022	#a6cee3	A
Eth54-2022	#a6cee3	A
ERR363650	#a6cee3	A
ERR388434	#a6cee3	A
ERR388294	#a6cee3	A
ERR3325347	#a6cee3	A
ERR3577970	#a6cee3	A
ERR9839275	#a6cee3	A
ERR9837244	#a6cee3	A
ERR3325648	#a6cee3	A
ERR3578940	#a6cee3	A
ERR7985863	#a6cee3	A
ERR3326123	#a6cee3	A
ERR3325990	#a6cee3	A
ERR3325818	#a6cee3	A
ERR9668990	#a6cee3	A
ERR9838909	#a6cee3	A
DDD048	#a6cee3	A
ERR1549685	#a6cee3	A
ERR3577890	#a6cee3	A
ERR363627	#a6cee3	A
ERR363664	#a6cee3	A
ERR3577528	#a6cee3	A
SRR11904217	#a6cee3	A
21242_3_23	#a6cee3	A
MMM005	#a6cee3	A
LLL029	#a6cee3	A
LLL004	#a6cee3	A
LLL046	#a6cee3	A
ERR349976	#a6cee3	A
ERR1143684	#a6cee3	A
ERR3577998	#a6cee3	A
ERR449460	#a6cee3	A
ERR3578026	#a6cee3	A
ERR9668986	#a6cee3	A
SRR3361357	#a6cee3	A
ERR7987170	#a6cee3	A
SRR5827322	#a6cee3	A
ERR3325880	#a6cee3	A
ERR449491	#a6cee3	A
ERR363609	#a6cee3	A
Eth05-2021	#a6cee3	A
Eth19-2022	#a6cee3	A
ERR363659	#a6cee3	A
ERR363652	#a6cee3	A
SRR2736142	#a6cee3	A
ERR449582	#a6cee3	A
ERR388324	#a6cee3	A
ERR388419	#a6cee3	A
GCGS0620	#a6cee3	A
ERR363578	#a6cee3	A
ERR363619	#a6cee3	A
FFF012	#a6cee3	A
GGG026	#a6cee3	A
ERR3623409	#a6cee3	A
ERR388454	#a6cee3	A
SRR6765303	#a6cee3	A
SRR6765563	#a6cee3	A
163M	#a6cee3	A
SRR6765375	#a6cee3	A
HHH042	#a6cee3	A
ERR502185	#a6cee3	A
FFF007	#a6cee3	A
SRR11903915	#a6cee3	A
SRR5827369	#a6cee3	A
ERR3325855	#a6cee3	A
DRR124801	#a6cee3	A
DRR248405	#a6cee3	A
25818_3_255	#a6cee3	A
ERR363641	#a6cee3	A
SRR11904572	#a6cee3	A
GCGS0749	#a6cee3	A
GCGS0440	#a6cee3	A
SRR9877820	#a6cee3	A
SRR11904221	#a6cee3	A
25818_2_277	#a6cee3	A
GCGS0819	#a6cee3	A
GCGS0726	#a6cee3	A
ERR502235	#a6cee3	A
ERR3623152	#a6cee3	A
ERR3578130	#a6cee3	A
FFF017	#a6cee3	A
ERR349916	#a6cee3	A
ERR363640	#a6cee3	A
ERR449458	#a6cee3	A
ERR363639	#a6cee3	A
ERR363607	#a6cee3	A
ERR9838204	#a6cee3	A
ERR9838975	#a6cee3	A
ERR3325790	#a6cee3	A
ERR2799249	#a6cee3	A
Eth17-2022	#a6cee3	A
ERR3577534	#a6cee3	A
ERR9837562	#a6cee3	A
ERR363643	#a6cee3	A
ERR7986122	#a6cee3	A
GCGS0369	#a6cee3	A
ERR388291	#a6cee3	A
ERR363623	#a6cee3	A
ERR3623361	#a6cee3	A
ERR9668982	#a6cee3	A
ERR9838455	#a6cee3	A
ERR9669015	#a6cee3	A
ERR1549757	#a6cee3	A
ERR9668921	#a6cee3	A
SRR5827245	#a6cee3	A
ERR1555226	#a6cee3	A
ERR502180	#a6cee3	A
ERR388442	#a6cee3	A
ERR3577955	#a6cee3	A
ERR3577328	#a6cee3	A
DRR124887	#a6cee3	A
ERR3579095	#a6cee3	A
ERR3577467	#a6cee3	A
GCGS0515	#a6cee3	A
ERR9839385	#a6cee3	A
ERR1528155	#a6cee3	A
Ng_188	#a6cee3	A
ERR7986114	#a6cee3	A
ERR9668981	#a6cee3	A
ERR9668983	#a6cee3	A
GGG020	#a6cee3	A
ERR2799259	#a6cee3	A
ERR9838776	#a6cee3	A
ERR9837614	#a6cee3	A
ERR3325738	#a6cee3	A
SRR5827185	#a6cee3	A
GCGS0154	#a6cee3	A
ERR2799263	#a6cee3	A
ERR3325429	#a6cee3	A
ERR3325222	#a6cee3	A
ERR2799251	#a6cee3	A
ERR9669012	#a6cee3	A
ERR3325716	#a6cee3	A
CCC012	#a6cee3	A
AUNG2170	#a6cee3	A
AUNG1852	#a6cee3	A
ERR388445	#a6cee3	A
AUNG92	#a6cee3	A
ERR7977494	#a6cee3	A
ERR2799253	#a6cee3	A
ERR4776618	#a6cee3	A
ERR2799252	#a6cee3	A
ERR363577	#a6cee3	A
ERR1528184	#a6cee3	A
SRR3349197	#a6cee3	A
ERR502198	#a6cee3	A
ERR9837719	#a6cee3	A
ERR9838656	#a6cee3	A
FL44	#a6cee3	A
ERR1469737	#a6cee3	A
ERR2799266	#a6cee3	A
POA37	#a6cee3	A
ERR1560857	#a6cee3	A
MA30	#a6cee3	A
SRR13305408	#a6cee3	A
SRR13305429	#a6cee3	A
LLL045	#a6cee3	A
SRR13300796	#a6cee3	A
LLL017	#a6cee3	A
SRR13305446	#a6cee3	A
SRR13305428	#a6cee3	A
SRR13305415	#a6cee3	A
SRR13305403	#a6cee3	A
LLL016	#a6cee3	A
LLL023	#a6cee3	A
SRR13300795	#a6cee3	A
LLL049	#a6cee3	A
SRR13305432	#a6cee3	A
SRR13305435	#a6cee3	A
ERR3577830	#a6cee3	A
ERR349887	#a6cee3	A
SRR2736118	#a6cee3	A
Eth09-2021	#a6cee3	A
Eth33-2022	#a6cee3	A
Eth89-2023	#a6cee3	A
ERR976923	#a6cee3	A
ERR7985866	#a6cee3	A
ERR9838554	#a6cee3	A
SRR3350180	#a6cee3	A
AUNG193	#a6cee3	A
AUNG320	#a6cee3	A
ERR3623356	#a6cee3	A
ERR1549739	#a6cee3	A
ERR9837340	#a6cee3	A
ERR363630	#a6cee3	A
ERR9838399	#a6cee3	A
ERR2799268	#a6cee3	A
ERR7976264	#a6cee3	A
FFF023	#a6cee3	A
ERR9668845	#a6cee3	A
SRR6765536	#a6cee3	A
ERR9837941	#a6cee3	A
Ng_140	#a6cee3	A
ERR3325432	#a6cee3	A
ERR7977637	#a6cee3	A
ERR3325232	#a6cee3	A
HHH001	#a6cee3	A
Eth10-2021	#a6cee3	A
Eth03-2021	#a6cee3	A
Eth83-2023	#a6cee3	A
Eth86-2023	#a6cee3	A
Eth11-2021	#a6cee3	A
Eth76-2023	#a6cee3	A
Eth24-2022	#a6cee3	A
Eth90-2023	#a6cee3	A
Eth47-2022	#a6cee3	A
ERR9838748	#a6cee3	A
ERR3325321	#a6cee3	A
ERR3325488	#a6cee3	A
ERR9839012	#a6cee3	A
ERR1143673	#a6cee3	A
ERR3578054	#a6cee3	A
ERR363621	#a6cee3	A
ERR3623410	#a6cee3	A
ERR3623134	#a6cee3	A
ERR7987388	#a6cee3	A
ERR9837890	#a6cee3	A
ERR7977641	#a6cee3	A
EEE019	#a6cee3	A
ERR9837911	#a6cee3	A
DDD027	#a6cee3	A
ERR7986758	#a6cee3	A
ERR2799254	#a6cee3	A
SRR3360629	#a6cee3	A
ERR9839020	#a6cee3	A
MA43	#a6cee3	A
ERR7975942	#a6cee3	A
25818_3_234	#a6cee3	A
CCC020	#a6cee3	A
ERR3578067	#a6cee3	A
ERR9839096	#a6cee3	A
ERR1560829	#a6cee3	A
25825_2_43	#a6cee3	A
ERR9668972	#a6cee3	A
Eth44-2022	#a6cee3	A
Eth43-2022	#a6cee3	A
Eth75-2023	#a6cee3	A
Eth71-2023	#a6cee3	A
Eth74-2023	#a6cee3	A
Eth48-2022	#a6cee3	A
Eth42-2022	#a6cee3	A
Eth18-2022	#a6cee3	A
ERR3325394	#a6cee3	A
ERR9838867	#a6cee3	A
ERR9669016	#a6cee3	A
ERR9838460	#a6cee3	A
ERR9668925	#a6cee3	A
Eth70-2023	#a6cee3	A
ERR3579023	#a6cee3	A
ERR449483	#a6cee3	A
ERR9837801	#a6cee3	A
GCGS0782	#a6cee3	A
SRR1661154	#a6cee3	A
ERR349918	#a6cee3	A
25818_2_7	#a6cee3	A
GGG031	#a6cee3	A
ERR3623159	#a6cee3	A
FFF044	#a6cee3	A
ERR388448	#a6cee3	A
SRR6765381	#a6cee3	A
SRR6765429	#a6cee3	A
SRR6765490	#a6cee3	A
SRR2736105	#a6cee3	A
ERR3623475	#a6cee3	A
ERR3623168	#a6cee3	A
ERR9839060	#a6cee3	A
GCGS1035	#a6cee3	A
ERR388431	#a6cee3	A
ERR388447	#a6cee3	A
JJJ010	#a6cee3	A
SRR6765394	#a6cee3	A
CCC001	#a6cee3	A
HHH013	#a6cee3	A
EEE018	#a6cee3	A
ERR388449	#a6cee3	A
SRR6765531	#a6cee3	A
ERR3623147	#a6cee3	A
ERR9837901	#a6cee3	A
SRR13305420	#a6cee3	A
ERR3851539	#a6cee3	A
25818_2_176	#a6cee3	A
ERR3851755	#a6cee3	A
DRR248395	#a6cee3	A
ERR9838727	#a6cee3	A
GCGS0295	#a6cee3	A
ERR363615	#a6cee3	A
SRR3360713	#a6cee3	A
ERR7975916	#a6cee3	A
ERR363614	#a6cee3	A
ERR2133968	#a6cee3	A
ERR9838108	#a6cee3	A
CCC011	#a6cee3	A
ERR9838543	#a6cee3	A
CCC040	#a6cee3	A
ERR3326073	#a6cee3	A
SRR11904845	#a6cee3	A
ERR363648	#a6cee3	A
ERR9839221	#a6cee3	A
ERR363670	#a6cee3	A
ERR3577590	#a6cee3	A
ERR9838326	#a6cee3	A
ERR349932	#a6cee3	A
ERR363612	#a6cee3	A
EEE022	#a6cee3	A
SRR1661179	#a6cee3	A
SRR3357289	#a6cee3	A
ERR388316	#a6cee3	A
EEE011	#a6cee3	A
DDD045	#a6cee3	A
21242_4_87	#a6cee3	A
ERR3325732	#a6cee3	A
ERR3623155	#a6cee3	A
ERR10659316	#a6cee3	A
HHH044	#a6cee3	A
HHH018	#a6cee3	A
ERR388367	#a6cee3	A
GCGS0306	#a6cee3	A
ERR9839240	#a6cee3	A
25825_2_70	#a6cee3	A
SRR3360688	#a6cee3	A
ERR349971	#a6cee3	A
SRR11904906	#a6cee3	A
ERR388428	#a6cee3	A
ERR502212	#a6cee3	A
SRR6765497	#a6cee3	A
AUNG322	#a6cee3	A
ERR3623422	#a6cee3	A
ERR502182	#a6cee3	A
ERR9838323	#a6cee3	A
SRR6765310	#a6cee3	A
SRR9985630	#a6cee3	A
SRR11904545	#a6cee3	A
SRR7401678	#a6cee3	A
ERR3325272	#a6cee3	A
25818_2_270	#a6cee3	A
GGG042	#a6cee3	A
EEE028	#a6cee3	A
ERR9839204	#a6cee3	A
SRR6765668	#a6cee3	A
DRR129094	#a6cee3	A
EEE035	#a6cee3	A
EEE020	#a6cee3	A
ERR9669009	#a6cee3	A
GGG006	#a6cee3	A
ERR9837827	#a6cee3	A
AUNG495	#a6cee3	A
ERR3623182	#a6cee3	A
EEE032	#a6cee3	A
SRR5827361	#a6cee3	A
SRR2736154	#a6cee3	A
GCGS0860	#a6cee3	A
ERR3623126	#a6cee3	A
ERR1469736	#a6cee3	A
GCGS0296	#a6cee3	A
ERR9838508	#a6cee3	A
DRR248391	#a6cee3	A
ERR349900	#a6cee3	A
JJJ024	#a6cee3	A
SRR6765565	#a6cee3	A
ERR349891	#a6cee3	A
ERR7976204	#a6cee3	A
ERR3578922	#a6cee3	A
SRR9877818	#a6cee3	A
HHH038	#a6cee3	A
SRR3349919	#a6cee3	A
ERR388430	#a6cee3	A
ERR388429	#a6cee3	A
ERR388451	#a6cee3	A
ERR388422	#a6cee3	A
DRR117953	#a6cee3	A
ERR502227	#a6cee3	A
AUNG892	#a6cee3	A
SRR5827243	#a6cee3	A
AUNG1939	#a6cee3	A
ERR1560874	#a6cee3	A
ERR3326032	#a6cee3	A
ERR449496	#a6cee3	A
SRR13305401	#a6cee3	A
GCGS0317	#a6cee3	A
ERR1560939	#a6cee3	A
ERR3851636	#a6cee3	A
ERR1143686	#a6cee3	A
ERR976912	#a6cee3	A
ERR3325360	#a6cee3	A
ERR2133974	#a6cee3	A
SRR5827030	#a6cee3	A
SRR959017	#a6cee3	A
GCGS0472	#a6cee3	A
GCGS0347	#a6cee3	A
