wgs_id,accession,names,date,continent,assembly_length,assembly_coverage,contigs,reference_coverage,reference_percentage_mapped,percent_missing
163M,SRR16683683,163M,2019,Asia,2140712.0,92.46780871715067,105.0,124.0,94.43188547354592,7.171335446511576
21242_3#112,ERR2631833,"101279223,NY0004",2011-12-16,North America,2111392.0,83.2286111295681,85.0,131.0,94.75605785038638,6.105397564991431
21242_3#23,ERR2631744,"200227291,NY0808",2013-11-25,North America,2117566.0,83.93808272576533,101.0,132.0,94.50497927056112,6.481916645198867
21242_4#62,ERR2631973,"200206582,NY0715",2013-09-30,North America,2047574.0,64.63932602427066,95.0,98.0,92.14725745450646,8.301295908423965
21242_4#87,ERR2631998,"200212132,NY0753",2013-10-15,North America,2104924.0,79.28713933121524,83.0,120.0,91.67826713827397,8.172623514521566
25818_2#13,ERR3200824,"200263716,NY0885",2014-03-10,North America,2160607.0,135.969958066324,73.0,232.0,87.34064583091907,6.620266350063283
25818_2#176,ERR3200873,"101342587,NY0502",2013-03-20,North America,2155438.0,101.61278753335608,84.0,184.0,92.3568072415534,6.18846115074876
25818_2#181,ERR3200878,"101339753,NY0445",2013-02-06,North America,2175966.0,87.6930632824359,80.0,158.0,92.38777749517465,6.043077474490653
25818_2#184,ERR3200881,"101323904,NY0156",2012-07-02,North America,2163474.0,85.69283572179698,82.0,161.0,94.03967733532508,6.577659300411062
25818_2#207,ERR3200904,"200228786,NY0813",2013-11-29,North America,2136646.0,99.86754030059404,78.0,176.0,92.18069274003126,6.510903775719358
25818_2#222,ERR3200919,"200205496,NY0712",2013-09-26,North America,2131416.0,81.1074833909453,79.0,151.0,96.717595478316,6.293836314557409
25818_2#270,ERR3200967,"101323227,NY0146",2012-06-26,North America,2138005.0,82.29705245582592,71.0,146.0,93.12750520282734,4.297622114447643
25818_2#277,ERR3200974,"101324695,NY0166",2012-07-11,North America,2125833.0,86.8495632784607,79.0,155.0,90.97976170043916,6.021348327191676
25818_2#7,ERR3200818,"101315868,NY0088",2012-04-27,North America,2073257.0,121.83324213558043,90.0,228.0,97.47721448869918,8.186153828922167
25818_3#222,ERR3201022,"101343312,NY0511",2013-03-29,North America,2157986.0,74.84664107872203,82.0,142.0,95.22223790293398,6.826850057683045
25818_3#234,ERR3201034,"101335210,NY0370",2012-11-30,North America,2117533.0,74.2465159865844,74.0,129.0,89.35932156575433,8.652636059183925
25818_3#255,ERR3201055,"101337195,NY0417",2012-12-31,North America,2126139.0,75.89233489699966,66.0,142.0,97.47036443824376,5.839853944288258
25818_3#268,ERR3201068,"101328235,NY0252",2012-08-23,North America,2162774.0,82.60418944062576,94.0,152.0,92.8381123966754,6.467042259831319
